experiment,condition,sub_name,side,RT
experiment2,"CV Pseudo-word
tones",224,right,2.1170952871616464
experiment2,"CV Pseudo-word
tones",225,right,1.5901159797795117
experiment2,"CV Pseudo-word
tones",226,right,1.5735357556404779
experiment2,"CV Pseudo-word
tones",227,right,1.6251818949531298
experiment2,"CV Pseudo-word
tones",228,right,2.280545442714356
experiment2,"CV Pseudo-word
tones",229,right,1.6526020479504953
experiment2,"CV Pseudo-word
tones",230,right,1.7147720351349562
experiment2,"CV word
tones",211,left,2.7028645508398768
experiment2,"CV word
tones",212,left,1.5982871004089247
experiment2,"CV word
tones",213,left,1.6755141569301486
experiment2,"CV word
tones",214,left,1.479696562164463
experiment2,"CV word
tones",215,left,1.3521449480904266
experiment2,"CV word
tones",216,left,2.1000070240115747
experiment2,"CV word
tones",217,left,1.20529090295895
experiment2,"CV word
tones",218,left,1.2897119540866697
experiment2,"CV word
tones",219,left,1.92303883002387
experiment2,"CV word
tones",220,left,1.539863419617177
experiment2,"CV word
tones",221,left,1.5704334785114042
experiment2,"CV word
tones",222,left,1.4486628856975583
experiment2,"CV word
tones",223,left,1.4019016502134036
experiment2,"CV word
tones",224,left,1.864733980386518
experiment2,"CV word
tones",225,left,1.4872882810086594
experiment2,"CV word
tones",226,left,1.4678439229901414
experiment2,"CV word
tones",227,left,1.3065389812691135
experiment2,"CV word
tones",228,left,2.2806915359687987
experiment2,"CV word
tones",229,left,1.8043100564391352
experiment2,"CV word
tones",230,left,1.4125536303035915
experiment2,"CV word
tones",211,right,2.6506824688985944
experiment2,"CV word
tones",212,right,1.5863039234100142
experiment2,"CV word
tones",213,right,1.6782859200902749
experiment2,"CV word
tones",214,right,1.6245261590229347
experiment2,"CV word
tones",215,right,1.5940521402517334
experiment2,"CV word
tones",216,right,1.7843026539630955
experiment2,"CV word
tones",217,right,1.2251665484800471
experiment2,"CV word
tones",218,right,1.3786593479976543
experiment2,"CV word
tones",219,right,1.8416178860497892
experiment2,"CV word
tones",220,right,1.5985624485401786
experiment2,"CV word
tones",221,right,1.5436705046449788
experiment2,"CV word
tones",222,right,1.5331275732605718
experiment2,"CV word
tones",223,right,1.4800083133159203
experiment2,"CV word
tones",224,right,1.6409226039249916
experiment2,"CV word
tones",225,right,1.3459466411513858
experiment2,"CV word
tones",226,right,1.3603253630572
experiment2,"CV word
tones",227,right,1.3532593234267551
experiment2,"CV word
tones",228,right,2.205794113979209
experiment2,"CV word
tones",229,right,1.8497896481130738
experiment2,"CV word
tones",230,right,1.516184601583518
